"time","Gyroscope x","Gyroscope y","Gyroscope z","abs Gyroscope"
2.424669365E2,1.224813089E-1,-1.299894810E0,-6.597496271E-1,1.462873117E0
2.426672865E2,6.382972598E-1,2.555235624E-1,4.778187573E-1,8.372732216E-1
2.428676355E2,-2.135121524E-1,-9.334032983E-2,-4.272487164E-1,4.866634587E-1
2.430679845E2,-7.032587528E-1,5.329615474E-1,4.261333942E-1,9.799033392E-1
2.432683343E2,3.527586162E-1,-3.536668420E-1,7.901021838E-1,9.347621822E-1
2.434686833E2,3.258241415E-1,-4.327761531E-1,-4.288791493E-2,5.434113940E-1
2.436690323E2,5.282678083E-2,-9.191245586E-2,-2.455255985E-1,2.674348292E-1
2.438693813E2,-1.384627223E-1,-3.295787424E-2,-2.611187398E-1,2.973905567E-1
2.440697313E2,1.861065179E-1,4.362281263E-1,4.969436675E-2,4.768649120E-1
2.442700799E2,-1.273732632E-1,-2.252855524E-2,9.525776505E-1,9.613197513E-1
2.444704289E2,3.234149190E-3,7.200412452E-2,2.663023472E-1,2.758840223E-1
2.446707779E2,3.239174560E-2,-5.941810012E-1,-4.449517429E-1,7.430224363E-1
2.448711269E2,-1.097586006E-1,4.926298931E-2,-2.961878479E-1,3.196889641E-1
2.450714759E2,-7.662534118E-1,8.149086237E-1,-7.401822209E-1,1.341301635E0
2.452718250E2,7.904468179E-1,2.191690058E-1,5.208078027E-1,9.716388178E-1
2.454721740E2,1.315993518E-1,1.330144852E-1,4.436358213E-1,4.814810325E-1
2.456725230E2,6.951588392E-1,9.980637431E-1,7.016448677E-2,1.218318555E0
2.458728720E2,-4.872959852E-1,-4.205288738E-2,-2.319584042E-1,5.413229386E-1
2.460732210E2,-2.934543788E-1,-5.214874148E-1,-6.566534638E-1,8.884021431E-1
2.462735701E2,-6.857461333E-1,-7.614051700E-1,3.421554714E-2,1.025259136E0
2.464739191E2,2.530989051E-1,3.696760237E-1,7.377064228E-1,8.630933811E-1
2.466742671E2,1.425122768E-1,-6.976447105E-1,-3.868497014E-1,8.103521350E-1
2.468746161E2,6.782602072E-1,-2.656165361E-1,-1.335954070E-1,7.405651799E-1
2.470749651E2,-3.596735895E-1,-1.327608228E-1,-2.972643077E-1,4.851356467E-1
2.472753142E2,1.197849065E-1,2.976806760E-1,1.624841243E-1,3.596710988E-1
2.474756622E2,1.870994866E-1,1.529749632E-1,2.538576424E-1,3.505014406E-1
2.476760112E2,1.629182994E-1,2.004945874E-1,7.591854930E-1,8.019370703E-1
2.478763592E2,-5.861936212E-1,3.479048014E-1,-8.200957775E-1,1.066404143E0
2.480767082E2,-3.745084107E-1,-4.468623102E-1,-4.237326682E-1,7.207578290E-1
2.482770558E2,-6.181961894E-1,-6.284106374E-1,-5.377234221E-1,1.032575874E0
2.484774047E2,5.976385474E-1,1.943603456E-1,6.763420105E-1,9.232476875E-1
2.486777527E2,1.821005195E-1,5.342399478E-1,2.977071404E-1,6.381241748E-1
2.488781018E2,-1.129219532E-1,4.537876248E-1,-2.501570284E-1,5.303330226E-1
2.490784498E2,-4.376288038E-3,-1.142948270E-1,-3.997103572E-1,4.157533271E-1
2.492787990E2,3.501732349E-1,-1.341166735E0,-1.133095399E-1,1.390751076E0
2.494791470E2,-7.503170967E-1,4.773279727E-1,2.712029815E-1,9.297143627E-1
2.496794950E2,-1.608927250E-1,1.997749060E-1,5.578486919E-1,6.139964537E-1
2.498798430E2,-1.551984400E-1,-1.428967118E0,-1.331818253E-1,1.443527270E0
2.500801920E2,1.217292190E0,7.609993815E-1,6.468912363E-1,1.574607445E0
2.502805406E2,-6.745204329E-2,5.222779512E-1,-1.762384176E-1,5.553233440E-1
2.504808886E2,1.562915742E-1,6.111247465E-2,-1.126599684E-1,2.021238710E-1
2.506812366E2,8.603545278E-2,3.583694100E-1,4.478081465E-1,5.799679898E-1
2.508815846E2,4.535113871E-1,3.006078601E-1,6.315767765E-1,8.336227495E-1
2.510819326E2,-1.629245877E0,-9.906308353E-2,-8.426324129E-1,1.836922700E0
2.512822801E2,1.904267669E-1,-1.508915126E-1,-5.015491247E-1,5.572989562E-1
2.514826281E2,-6.671157479E-1,-1.005623698E0,-6.560803652E-1,1.373595242E0
2.516829761E2,6.935773492E-1,2.628452480E-1,4.648106396E-1,8.753205666E-1
2.518833241E2,3.213407397E-1,5.792346597E-1,6.770288348E-1,9.471751185E-1
2.520836721E2,3.458040655E-1,-1.905728877E-1,-5.792972445E-1,7.010590380E-1
2.522840205E2,3.289665580E-1,-3.048291802E-1,-1.663414836E-1,4.783401662E-1
2.524843685E2,-5.681175590E-1,-4.597635269E-1,-3.720162213E-1,8.200830021E-1
2.526847165E2,-2.059051841E-1,3.450193405E-1,1.084666967E0,1.156692578E0
2.528850645E2,-1.201951355E-1,-1.130782142E-1,6.987886429E-1,7.180105296E-1
2.530854115E2,-1.786012650E-1,-1.302619278E-1,-1.395215653E-2,2.214977299E-1
2.532857594E2,4.996175691E-2,1.562385410E-1,-4.392437339E-1,4.688728150E-1
2.534861074E2,-3.118301630E-1,-3.201896548E-1,-3.484323323E-1,5.667138218E-1
2.536864554E2,8.369334936E-1,1.571127474E-1,2.454346269E-1,8.862168156E-1
2.538868024E2,-3.843559325E-1,4.214185774E-1,2.970341146E-1,6.430803725E-1
2.540871504E2,-2.814145759E-2,1.672291458E-1,2.757323980E-1,3.237064784E-1
2.542874967E2,-3.630407751E-1,-4.760035574E-1,-3.147027791E-1,6.763252400E-1
2.544878447E2,-1.386951208E-1,-1.104975641E-1,-4.513080418E-1,4.848968930E-1
2.546881927E2,-7.610965371E-1,-7.026469707E-1,-4.084363878E-1,1.113463510E0
2.548885397E2,-1.796399802E-1,-4.680931568E-1,-1.047933817E0,1.161700052E0
2.550888877E2,6.221593022E-1,-1.311563849E-1,8.095976114E-1,1.029433090E0
2.552892357E2,-4.672252536E-1,-1.251660228E0,-8.708635569E-1,1.594790299E0
2.554895827E2,7.926225066E-1,1.325318098E0,7.619048357E-1,1.721980684E0
2.556899307E2,-5.463939309E-1,-3.778352868E-3,-4.952463508E-1,7.374479993E-1
2.558902777E2,7.393065095E-1,3.729602993E-1,6.921554208E-1,1.079237058E0
2.560906247E2,4.764113575E-3,7.009448409E-1,1.180210114E-1,7.108272124E-1
2.562909724E2,6.379130483E-1,-2.723206282E-1,5.139361024E-1,8.632623582E-1
2.564913194E2,-3.508611917E-1,-7.827806473E-1,-8.488218784E-1,1.206792318E0
2.566916664E2,9.516148269E-2,1.168659925E-1,-6.725478172E-1,6.892270558E-1
2.568920134E2,-7.118716836E-1,-5.150799155E-1,-1.375590563E-1,8.893768084E-1
2.570923614E2,2.969850302E-1,3.801863194E-1,6.464501619E-1,8.066223140E-1
2.572927083E2,1.407546103E-1,5.347750783E-1,4.378547370E-1,7.053460253E-1
2.574930553E2,8.137868643E-1,4.157052636E-1,4.048024416E-1,9.994623272E-1
2.576934023E2,-3.923469484E-1,-3.169157356E-2,-2.388878167E-1,4.604431264E-1
2.578937493E2,8.928974867E-1,-1.188785553E0,6.536447257E-2,1.488203456E0
